date,cumulative_death,cdr,population,day,constant_one,std,country
1/22/2020,0,0,60482227,0,1,8.55705E-05,Italy
1/23/2020,0,0,60482227,0,1,8.55705E-05,Italy
1/24/2020,0,0,60482227,0,1,8.55705E-05,Italy
1/25/2020,0,0,60482227,0,1,8.55705E-05,Italy
1/26/2020,0,0,60482227,0,1,8.55705E-05,Italy
1/27/2020,0,0,60482227,0,1,8.55705E-05,Italy
1/28/2020,0,0,60482227,0,1,8.55705E-05,Italy
1/29/2020,0,0,60482227,0,1,8.55705E-05,Italy
1/30/2020,0,0,60482227,0,1,8.55705E-05,Italy
1/31/2020,0,0,60482227,0,1,8.55705E-05,Italy
2/1/2020,0,0,60482227,0,1,8.55705E-05,Italy
2/2/2020,0,0,60482227,0,1,8.55705E-05,Italy
2/3/2020,0,0,60482227,0,1,8.55705E-05,Italy
2/4/2020,0,0,60482227,0,1,8.55705E-05,Italy
2/5/2020,0,0,60482227,0,1,8.55705E-05,Italy
2/6/2020,0,0,60482227,0,1,8.55705E-05,Italy
2/7/2020,0,0,60482227,0,1,8.55705E-05,Italy
2/8/2020,0,0,60482227,0,1,8.55705E-05,Italy
2/9/2020,0,0,60482227,0,1,8.55705E-05,Italy
2/10/2020,0,0,60482227,0,1,8.55705E-05,Italy
2/11/2020,0,0,60482227,0,1,8.55705E-05,Italy
2/12/2020,0,0,60482227,0,1,8.55705E-05,Italy
2/13/2020,0,0,60482227,0,1,8.55705E-05,Italy
2/14/2020,0,0,60482227,0,1,8.55705E-05,Italy
2/15/2020,0,0,60482227,0,1,8.55705E-05,Italy
2/16/2020,0,0,60482227,0,1,8.55705E-05,Italy
2/17/2020,0,0,60482227,0,1,8.55705E-05,Italy
2/18/2020,0,0,60482227,0,1,8.55705E-05,Italy
2/19/2020,0,0,60482227,0,1,8.55705E-05,Italy
2/20/2020,0,0,60482227,0,1,8.55705E-05,Italy
2/21/2020,1,1.65338E-08,60482227,1,1,8.55705E-05,Italy
2/22/2020,2,3.30676E-08,60482227,2,1,8.55705E-05,Italy
2/23/2020,3,4.96013E-08,60482227,3,1,8.55705E-05,Italy
2/24/2020,7,1.15736E-07,60482227,4,1,8.55705E-05,Italy
2/25/2020,10,1.65338E-07,60482227,5,1,8.55705E-05,Italy
2/26/2020,12,1.98405E-07,60482227,6,1,8.55705E-05,Italy
2/27/2020,17,2.81074E-07,60482227,7,1,8.55705E-05,Italy
2/28/2020,21,3.47209E-07,60482227,8,1,8.55705E-05,Italy
2/29/2020,29,4.7948E-07,60482227,9,1,8.55705E-05,Italy
3/1/2020,34,5.62149E-07,60482227,10,1,8.55705E-05,Italy
3/2/2020,52,8.59757E-07,60482227,11,1,8.55705E-05,Italy
3/3/2020,79,1.30617E-06,60482227,12,1,8.55705E-05,Italy
3/4/2020,107,1.76911E-06,60482227,13,1,8.55705E-05,Italy
3/5/2020,148,2.447E-06,60482227,14,1,8.55705E-05,Italy
3/6/2020,197,3.25716E-06,60482227,15,1,8.55705E-05,Italy
3/7/2020,233,3.85237E-06,60482227,16,1,8.55705E-05,Italy
3/8/2020,366,6.05136E-06,60482227,17,1,8.55705E-05,Italy
3/9/2020,463,7.65514E-06,60482227,18,1,8.55705E-05,Italy
3/10/2020,631,1.04328E-05,60482227,19,1,8.55705E-05,Italy
3/11/2020,827,1.36734E-05,60482227,20,1,8.55705E-05,Italy
3/12/2020,827,1.36734E-05,60482227,21,1,8.55705E-05,Italy
3/13/2020,1266,2.09318E-05,60482227,22,1,8.55705E-05,Italy
3/14/2020,1441,2.38252E-05,60482227,23,1,8.55705E-05,Italy
3/15/2020,1809,2.99096E-05,60482227,24,1,8.55705E-05,Italy
3/16/2020,2158,3.56799E-05,60482227,25,1,8.55705E-05,Italy
3/17/2020,2503,4.13841E-05,60482227,26,1,8.55705E-05,Italy
3/18/2020,2978,4.92376E-05,60482227,27,1,8.55705E-05,Italy
3/19/2020,3405,5.62975E-05,60482227,28,1,8.55705E-05,Italy
3/20/2020,4032,6.66642E-05,60482227,29,1,8.55705E-05,Italy
3/21/2020,4825,7.97755E-05,60482227,30,1,8.55705E-05,Italy
3/22/2020,5476,9.0539E-05,60482227,31,1,8.55705E-05,Italy
3/23/2020,6077,0.000100476,60482227,32,1,8.55705E-05,Italy
3/24/2020,6820,0.00011276,60482227,33,1,8.55705E-05,Italy
3/25/2020,7503,0.000124053,60482227,34,1,8.55705E-05,Italy
3/26/2020,8215,0.000135825,60482227,35,1,8.55705E-05,Italy
3/27/2020,9134,0.00015102,60482227,36,1,8.55705E-05,Italy
3/28/2020,10023,0.000165718,60482227,37,1,8.55705E-05,Italy
3/29/2020,10779,0.000178218,60482227,38,1,8.55705E-05,Italy
3/30/2020,11591,0.000191643,60482227,39,1,8.55705E-05,Italy
3/31/2020,12428,0.000205482,60482227,40,1,8.55705E-05,Italy
4/1/2020,13155,0.000217502,60482227,41,1,8.55705E-05,Italy
4/2/2020,13915,0.000230068,60482227,42,1,8.55705E-05,Italy
4/3/2020,14681,0.000242732,60482227,43,1,8.55705E-05,Italy
4/4/2020,15362,0.000253992,60482227,44,1,8.55705E-05,Italy
4/5/2020,15887,0.000262672,60482227,45,1,8.55705E-05,Italy
