date,cumulative_death,cdr,population,day,constant_one,std,country
1/22/2020,0,0,46750614,0,1,0,Spain
1/23/2020,0,0,46750614,0,1,0,Spain
1/24/2020,0,0,46750614,0,1,0,Spain
1/25/2020,0,0,46750614,0,1,0,Spain
1/26/2020,0,0,46750614,0,1,0,Spain
1/27/2020,0,0,46750614,0,1,0,Spain
1/28/2020,0,0,46750614,0,1,0,Spain
1/29/2020,0,0,46750614,0,1,0,Spain
1/30/2020,0,0,46750614,0,1,0,Spain
1/31/2020,0,0,46750614,0,1,0,Spain
2/1/2020,0,0,46750614,0,1,0,Spain
2/2/2020,0,0,46750614,0,1,0,Spain
2/3/2020,0,0,46750614,0,1,0,Spain
2/4/2020,0,0,46750614,0,1,0,Spain
2/5/2020,0,0,46750614,0,1,0,Spain
2/6/2020,0,0,46750614,0,1,0,Spain
2/7/2020,0,0,46750614,0,1,0,Spain
2/8/2020,0,0,46750614,0,1,0,Spain
2/9/2020,0,0,46750614,0,1,0,Spain
2/10/2020,0,0,46750614,0,1,0,Spain
2/11/2020,0,0,46750614,0,1,0,Spain
2/12/2020,0,0,46750614,0,1,0,Spain
2/13/2020,0,0,46750614,0,1,0,Spain
2/14/2020,0,0,46750614,0,1,0,Spain
2/15/2020,0,0,46750614,0,1,0,Spain
2/16/2020,0,0,46750614,0,1,0,Spain
2/17/2020,0,0,46750614,0,1,0,Spain
2/18/2020,0,0,46750614,0,1,0,Spain
2/19/2020,0,0,46750614,0,1,0,Spain
2/20/2020,0,0,46750614,0,1,0,Spain
2/21/2020,0,0,46750614,0,1,0,Spain
2/22/2020,0,0,46750614,0,1,0,Spain
2/23/2020,0,0,46750614,0,1,0,Spain
2/24/2020,0,0,46750614,0,1,0,Spain
2/25/2020,0,0,46750614,0,1,0,Spain
2/26/2020,0,0,46750614,0,1,0,Spain
2/27/2020,0,0,46750614,0,1,0,Spain
2/28/2020,0,0,46750614,0,1,0,Spain
2/29/2020,0,0,46750614,0,1,0,Spain
3/1/2020,0,0,46750614,0,1,0,Spain
3/2/2020,0,0,46750614,0,1,0,Spain
3/3/2020,1,2.13901E-08,46750614,0,1,0,Spain
3/4/2020,2,4.27802E-08,46750614,0,1,0,Spain
3/5/2020,3,6.41703E-08,46750614,0,1,0,Spain
3/6/2020,5,1.0695E-07,46750614,0,1,0,Spain
3/7/2020,10,2.13901E-07,46750614,0,1,0,Spain
3/8/2020,17,3.63632E-07,46750614,0,1,9.02305E-05,Spain
3/9/2020,28,5.98923E-07,46750614,1,1,9.02305E-05,Spain
3/10/2020,35,7.48653E-07,46750614,2,1,9.02305E-05,Spain
3/11/2020,54,1.15507E-06,46750614,3,1,9.02305E-05,Spain
3/12/2020,55,1.17646E-06,46750614,4,1,9.02305E-05,Spain
3/13/2020,133,2.84488E-06,46750614,5,1,9.02305E-05,Spain
3/14/2020,195,4.17107E-06,46750614,6,1,9.02305E-05,Spain
3/15/2020,289,6.18174E-06,46750614,7,1,9.02305E-05,Spain
3/16/2020,342,7.31541E-06,46750614,8,1,9.02305E-05,Spain
3/17/2020,533,1.14009E-05,46750614,9,1,9.02305E-05,Spain
3/18/2020,623,1.3326E-05,46750614,10,1,9.02305E-05,Spain
3/19/2020,830,1.77538E-05,46750614,11,1,9.02305E-05,Spain
3/20/2020,1043,2.23099E-05,46750614,12,1,9.02305E-05,Spain
3/21/2020,1375,2.94114E-05,46750614,13,1,9.02305E-05,Spain
3/22/2020,1772,3.79032E-05,46750614,14,1,9.02305E-05,Spain
3/23/2020,2311,4.94325E-05,46750614,15,1,9.02305E-05,Spain
3/24/2020,2808,6.00634E-05,46750614,16,1,9.02305E-05,Spain
3/25/2020,3647,7.80097E-05,46750614,17,1,9.02305E-05,Spain
3/26/2020,4365,9.33678E-05,46750614,18,1,9.02305E-05,Spain
3/27/2020,5138,0.000109902,46750614,19,1,9.02305E-05,Spain
3/28/2020,5982,0.000127956,46750614,20,1,9.02305E-05,Spain
3/29/2020,6803,0.000145517,46750614,21,1,9.02305E-05,Spain
3/30/2020,7716,0.000165046,46750614,22,1,9.02305E-05,Spain
3/31/2020,8464,0.000181046,46750614,23,1,9.02305E-05,Spain
4/1/2020,9387,0.000200789,46750614,24,1,9.02305E-05,Spain
4/2/2020,10348,0.000221345,46750614,25,1,9.02305E-05,Spain
4/3/2020,11198,0.000239526,46750614,26,1,9.02305E-05,Spain
4/4/2020,11947,0.000255547,46750614,27,1,9.02305E-05,Spain
4/5/2020,12641,0.000270392,46750614,28,1,9.02305E-05,Spain
