date,cumulative_death,cdr,population,day,constant_one,std,country
1/22/2020,0,0,329483648,0,1,0,US
1/23/2020,0,0,329483648,0,1,0,US
1/24/2020,0,0,329483648,0,1,0,US
1/25/2020,0,0,329483648,0,1,0,US
1/26/2020,0,0,329483648,0,1,0,US
1/27/2020,0,0,329483648,0,1,0,US
1/28/2020,0,0,329483648,0,1,0,US
1/29/2020,0,0,329483648,0,1,0,US
1/30/2020,0,0,329483648,0,1,0,US
1/31/2020,0,0,329483648,0,1,0,US
2/1/2020,0,0,329483648,0,1,0,US
2/2/2020,0,0,329483648,0,1,0,US
2/3/2020,0,0,329483648,0,1,0,US
2/4/2020,0,0,329483648,0,1,0,US
2/5/2020,0,0,329483648,0,1,0,US
2/6/2020,0,0,329483648,0,1,0,US
2/7/2020,0,0,329483648,0,1,0,US
2/8/2020,0,0,329483648,0,1,0,US
2/9/2020,0,0,329483648,0,1,0,US
2/10/2020,0,0,329483648,0,1,0,US
2/11/2020,0,0,329483648,0,1,0,US
2/12/2020,0,0,329483648,0,1,0,US
2/13/2020,0,0,329483648,0,1,0,US
2/14/2020,0,0,329483648,0,1,0,US
2/15/2020,0,0,329483648,0,1,0,US
2/16/2020,0,0,329483648,0,1,0,US
2/17/2020,0,0,329483648,0,1,0,US
2/18/2020,0,0,329483648,0,1,0,US
2/19/2020,0,0,329483648,0,1,0,US
2/20/2020,0,0,329483648,0,1,0,US
2/21/2020,0,0,329483648,0,1,0,US
2/22/2020,0,0,329483648,0,1,0,US
2/23/2020,0,0,329483648,0,1,0,US
2/24/2020,0,0,329483648,0,1,0,US
2/25/2020,0,0,329483648,0,1,0,US
2/26/2020,0,0,329483648,0,1,0,US
2/27/2020,0,0,329483648,0,1,0,US
2/28/2020,0,0,329483648,0,1,0,US
2/29/2020,1,3.03505E-09,329483648,0,1,0,US
3/1/2020,1,3.03505E-09,329483648,0,1,0,US
3/2/2020,6,1.82103E-08,329483648,0,1,0,US
3/3/2020,7,2.12454E-08,329483648,0,1,0,US
3/4/2020,11,3.33856E-08,329483648,0,1,0,US
3/5/2020,12,3.64206E-08,329483648,0,1,0,US
3/6/2020,14,4.24907E-08,329483648,0,1,0,US
3/7/2020,17,5.15959E-08,329483648,0,1,0,US
3/8/2020,21,6.37361E-08,329483648,0,1,0,US
3/9/2020,22,6.67711E-08,329483648,0,1,0,US
3/10/2020,28,8.49815E-08,329483648,0,1,0,US
3/11/2020,36,1.09262E-07,329483648,0,1,0,US
3/12/2020,40,1.21402E-07,329483648,0,1,0,US
3/13/2020,47,1.42647E-07,329483648,0,1,0,US
3/14/2020,54,1.63893E-07,329483648,0,1,0,US
3/15/2020,63,1.91208E-07,329483648,0,1,0,US
3/16/2020,85,2.57979E-07,329483648,0,1,0,US
3/17/2020,108,3.27786E-07,329483648,0,1,9.02539E-06,US
3/18/2020,118,3.58136E-07,329483648,1,1,9.02539E-06,US
3/19/2020,200,6.0701E-07,329483648,2,1,9.02539E-06,US
3/20/2020,244,7.40553E-07,329483648,3,1,9.02539E-06,US
3/21/2020,307,9.31761E-07,329483648,4,1,9.02539E-06,US
3/22/2020,417,1.26562E-06,329483648,5,1,9.02539E-06,US
3/23/2020,557,1.69052E-06,329483648,6,1,9.02539E-06,US
3/24/2020,706,2.14275E-06,329483648,7,1,9.02539E-06,US
3/25/2020,942,2.85902E-06,329483648,8,1,9.02539E-06,US
3/26/2020,1209,3.66938E-06,329483648,9,1,9.02539E-06,US
3/27/2020,1581,4.79842E-06,329483648,10,1,9.02539E-06,US
3/28/2020,2026,6.14902E-06,329483648,11,1,9.02539E-06,US
3/29/2020,2467,7.48747E-06,329483648,12,1,9.02539E-06,US
3/30/2020,2978,9.03838E-06,329483648,13,1,9.02539E-06,US
3/31/2020,3873,1.17548E-05,329483648,14,1,9.02539E-06,US
4/1/2020,4757,1.44377E-05,329483648,15,1,9.02539E-06,US
4/2/2020,5926,1.79857E-05,329483648,16,1,9.02539E-06,US
4/3/2020,7087,2.15094E-05,329483648,17,1,9.02539E-06,US
4/4/2020,8407,2.55157E-05,329483648,18,1,9.02539E-06,US
4/5/2020,9619,2.91942E-05,329483648,19,1,9.02539E-06,US
