,confirm_count,death_count,death_rate
1/26/20,2,0,0.0
1/27/20,2,0,0.0
1/28/20,2,0,0.0
1/29/20,2,0,0.0
1/30/20,2,0,0.0
1/31/20,3,0,0.0
2/1/20,3,0,0.0
2/2/20,3,0,0.0
2/3/20,6,0,0.0
2/4/20,6,0,0.0
2/5/20,6,0,0.0
2/6/20,6,0,0.0
2/7/20,6,0,0.0
2/8/20,6,0,0.0
2/9/20,6,0,0.0
2/10/20,6,0,0.0
2/11/20,7,0,0.0
2/12/20,7,0,0.0
2/13/20,8,0,0.0
2/14/20,8,0,0.0
2/15/20,8,0,0.0
2/16/20,8,0,0.0
2/17/20,8,0,0.0
2/18/20,8,0,0.0
2/19/20,8,0,0.0
2/20/20,8,0,0.0
2/21/20,10,0,0.0
2/22/20,10,0,0.0
2/23/20,10,0,0.0
2/24/20,10,0,0.0
2/25/20,10,0,0.0
2/26/20,10,0,0.0
2/27/20,11,0,0.0
2/28/20,11,0,0.0
2/29/20,12,0,0.0
3/1/20,12,0,0.0
3/2/20,21,0,0.0
3/3/20,25,0,0.0
3/4/20,35,1,2.531004808909137e-08
3/5/20,51,1,2.531004808909137e-08
3/6/20,59,1,2.531004808909137e-08
3/7/20,81,1,2.531004808909137e-08
3/8/20,95,1,2.531004808909137e-08
3/9/20,101,1,2.531004808909137e-08
3/10/20,144,2,5.062009617818274e-08
3/11/20,178,4,1.0124019235636548e-07
3/12/20,221,4,1.0124019235636548e-07
3/13/20,281,4,1.0124019235636548e-07
3/14/20,372,3,7.593014426727411e-08
3/15/20,373,5,1.2655024044545685e-07
3/16/20,557,7,1.771703366236396e-07
3/17/20,700,12,3.0372057706909645e-07
3/18/20,828,16,4.0496076942546193e-07
3/19/20,1005,18,4.5558086560364467e-07
3/20/20,1243,24,6.074411541381929e-07
3/21/20,1405,25,6.327512022272843e-07
3/22/20,1646,30,7.593014426727411e-07
3/23/20,2108,39,9.870918754745634e-07
3/24/20,2538,50,1.2655024044545685e-06
3/25/20,2998,65,1.645153125790939e-06
3/26/20,3899,81,2.050113895216401e-06
3/27/20,4657,94,2.379144520374589e-06
3/28/20,5095,110,2.7841052898000508e-06
3/29/20,5852,124,3.13844596304733e-06
3/30/20,7138,146,3.69526702100734e-06
3/31/20,8210,173,4.378638319412807e-06
4/1/20,9399,199,5.036699569729183e-06
4/2/20,10773,238,6.023791445203746e-06
4/3/20,12004,265,6.707162743609213e-06
4/4/20,12837,289,7.314603897747406e-06
4/5/20,15034,348,8.807896735003797e-06
4/6/20,16019,380,9.61781827385472e-06
4/7/20,17351,432,1.0933940774487472e-05
4/8/20,18897,495,1.2528473804100228e-05
4/9/20,19710,544,1.3768666160465706e-05
4/10/20,21081,583,1.4755758035940269e-05
4/11/20,21706,605,1.531257909390028e-05
4/12/20,22795,641,1.622374082510757e-05
4/13/20,23931,715,1.809668438370033e-05
