"","Date","cases_count","recover_count","deaths_count"
"1",2020-01-22,548,28,17
"2",2020-01-23,643,30,18
"3",2020-01-24,920,36,26
"4",2020-01-25,1406,39,42
"5",2020-01-26,2075,49,56
"6",2020-01-27,2877,58,82
"7",2020-01-28,5509,101,131
"8",2020-01-29,6087,120,133
"9",2020-01-30,8141,135,171
"10",2020-01-31,9802,214,213
"11",2020-02-01,11891,275,259
"12",2020-02-02,16630,463,361
"13",2020-02-03,19716,614,425
"14",2020-02-04,23707,843,491
"15",2020-02-05,27440,1115,563
"16",2020-02-06,30587,1477,633
"17",2020-02-07,34110,1999,718
"18",2020-02-08,36814,2596,805
"19",2020-02-09,39829,3219,905
"20",2020-02-10,42354,3918,1012
"21",2020-02-11,44386,4636,1112
"22",2020-02-12,44759,5082,1117
"23",2020-02-13,59895,6217,1369
"24",2020-02-14,66358,7977,1521
"25",2020-02-15,68413,9298,1663
"26",2020-02-16,70513,10755,1766
"27",2020-02-17,72434,12462,1864
"28",2020-02-18,74211,14206,2003
"29",2020-02-19,74619,15962,2116
"30",2020-02-20,75077,18014,2238
"31",2020-02-21,75550,18704,2238
"32",2020-02-22,77001,22699,2443
"33",2020-02-23,77022,23187,2445
"34",2020-02-24,77241,25015,2595
"35",2020-02-25,77754,27676,2665
"36",2020-02-26,78166,30084,2717
"37",2020-02-27,78600,32930,2746
"38",2020-02-28,78928,36329,2790
"39",2020-02-29,79356,39320,2837
"40",2020-03-01,79932,42162,2872
"41",2020-03-02,80136,44854,2914
"42",2020-03-03,80261,47450,2947
"43",2020-03-04,80386,50001,2983
"44",2020-03-05,80537,52292,3015
"45",2020-03-06,80690,53944,3044
"46",2020-03-07,80770,55539,3072
"47",2020-03-08,80823,57388,3100
"48",2020-03-09,80860,58804,3123
"49",2020-03-10,80887,60181,3139
"50",2020-03-11,80921,61644,3161
"51",2020-03-12,80932,62901,3172
"52",2020-03-13,80945,64196,3180
"53",2020-03-14,80977,65660,3193
"54",2020-03-15,81003,67017,3203
"55",2020-03-16,81033,67910,3217
"56",2020-03-17,81058,68798,3230
"57",2020-03-18,81102,69755,3241
"58",2020-03-19,81156,70535,3249
"59",2020-03-20,81250,71266,3253
"60",2020-03-21,81305,71857,3259
"61",2020-03-22,81435,72362,3274
"62",2020-03-23,81498,72814,3274
"63",2020-03-24,81591,73280,3281
"64",2020-03-25,81661,73773,3285
"65",2020-03-26,81782,74181,3291
"66",2020-03-27,81897,74720,3296
"67",2020-03-28,81999,75100,3299
"68",2020-03-29,82122,75582,3304
"69",2020-03-30,82198,75923,3308
"70",2020-03-31,82279,76206,3309
"71",2020-04-01,82361,76405,3316
"72",2020-04-02,82432,76565,3322
"73",2020-04-03,82511,76760,3326
"74",2020-04-04,82543,76946,3330
"75",2020-04-05,82602,77207,3333
"76",2020-04-06,82665,77310,3335
"77",2020-04-07,82718,77410,3335
