,confirm_count,death_count
3/2/20,1,0
3/3/20,2,0
3/4/20,2,0
3/5/20,3,0
3/6/20,3,0
3/7/20,7,0
3/8/20,10,2
3/9/20,13,2
3/10/20,15,2
3/11/20,24,2
3/12/20,30,2
3/13/20,50,2
3/14/20,76,2
3/15/20,100,3
3/16/20,101,3
3/17/20,190,5
3/18/20,306,7
3/19/20,432,9
3/20/20,564,11
3/21/20,763,13
3/22/20,1004,13
3/23/20,1227,18
3/24/20,1412,18
3/25/20,1682,23
3/26/20,2357,29
3/27/20,2900,35
3/28/20,3763,54
3/29/20,4246,56
3/30/20,5473,63
3/31/20,6741,85
4/1/20,6956,87
4/2/20,9008,164
4/3/20,10268,170
4/4/20,11537,195
4/5/20,12350,221
4/6/20,13324,236
4/7/20,14545,283
4/8/20,15456,309
4/9/20,16364,354
