,confirm_count,death_count,death_rate
1/24/20,2,0,0.0
1/25/20,3,0,0.0
1/26/20,3,0,0.0
1/27/20,3,0,0.0
1/28/20,4,0,0.0
1/29/20,5,0,0.0
1/30/20,5,0,0.0
1/31/20,5,0,0.0
2/1/20,6,0,0.0
2/2/20,6,0,0.0
2/3/20,6,0,0.0
2/4/20,6,0,0.0
2/5/20,6,0,0.0
2/6/20,6,0,0.0
2/7/20,6,0,0.0
2/8/20,11,0,0.0
2/9/20,11,0,0.0
2/10/20,11,0,0.0
2/11/20,11,0,0.0
2/12/20,11,0,0.0
2/13/20,11,0,0.0
2/14/20,11,0,0.0
2/15/20,12,1,7.215007215007215e-10
2/16/20,12,1,7.215007215007215e-10
2/17/20,12,1,7.215007215007215e-10
2/18/20,12,1,7.215007215007215e-10
2/19/20,12,1,7.215007215007215e-10
2/20/20,12,1,7.215007215007215e-10
2/21/20,12,1,7.215007215007215e-10
2/22/20,12,1,7.215007215007215e-10
2/23/20,12,1,7.215007215007215e-10
2/24/20,12,1,7.215007215007215e-10
2/25/20,14,1,7.215007215007215e-10
2/26/20,18,2,1.443001443001443e-09
2/27/20,38,2,1.443001443001443e-09
2/28/20,57,2,1.443001443001443e-09
2/29/20,100,2,1.443001443001443e-09
3/1/20,130,2,1.443001443001443e-09
3/2/20,191,3,2.1645021645021644e-09
3/3/20,204,4,2.886002886002886e-09
3/4/20,288,4,2.886002886002886e-09
3/5/20,380,6,4.329004329004329e-09
3/6/20,656,9,6.493506493506493e-09
3/7/20,959,11,7.936507936507936e-09
3/8/20,1136,19,1.3708513708513708e-08
3/9/20,1219,19,1.3708513708513708e-08
3/10/20,1794,33,2.380952380952381e-08
3/11/20,2293,48,3.463203463203463e-08
3/12/20,2293,48,3.463203463203463e-08
3/13/20,3681,79,5.6998556998557e-08
3/14/20,4496,91,6.565656565656565e-08
3/15/20,4532,91,6.565656565656565e-08
3/16/20,6683,149,1.075036075036075e-07
3/17/20,7715,149,1.075036075036075e-07
3/18/20,9124,149,1.075036075036075e-07
3/19/20,10970,244,1.7604617604617604e-07
3/20/20,12758,451,3.253968253968254e-07
3/21/20,14463,563,4.062049062049062e-07
3/22/20,16243,676,4.877344877344877e-07
3/23/20,20123,862,6.21933621933622e-07
3/24/20,22622,1102,7.950937950937951e-07
3/25/20,25600,1333,9.617604617604618e-07
3/26/20,29551,1698,1.2251082251082252e-06
3/27/20,33402,1997,1.4408369408369408e-06
3/28/20,38105,2317,1.6717171717171717e-06
3/29/20,40708,2611,1.8838383838383838e-06
3/30/20,45170,3030,2.1861471861471864e-06
3/31/20,52827,3532,2.5483405483405483e-06
4/1/20,57749,4043,2.917027417027417e-06
4/2/20,59929,5398,3.894660894660895e-06
4/3/20,65202,6520,4.704184704184704e-06
4/4/20,90848,7574,5.464646464646465e-06
4/5/20,93773,8093,5.839105339105339e-06
4/6/20,98963,8926,6.44011544011544e-06
4/7/20,110065,10343,7.462481962481962e-06
4/8/20,113959,10887,7.854978354978355e-06
4/9/20,118781,12228,8.822510822510823e-06
4/10/20,125931,13215,9.534632034632034e-06
4/11/20,130727,13851,9.993506493506494e-06
4/12/20,133670,14412,1.0398268398268398e-05
4/13/20,137875,14986,1.0812409812409813e-05
