date,cases_count
1/23/2020,444
1/24/2020,549
1/25/2020,761
1/26/2020,1058
1/27/2020,1423
1/28/2020,3554
1/29/2020,3554
1/30/2020,4903
1/31/2020,5806
2/1/2020,7153
2/2/2020,11177
2/3/2020,13522
2/4/2020,16678
2/5/2020,19665
2/6/2020,22112
2/7/2020,24953
2/8/2020,27100
2/9/2020,29631
2/10/2020,31728
2/11/2020,33366
2/12/2020,33366
2/13/2020,48206
2/14/2020,54406
2/15/2020,56249
2/16/2020,58182
2/17/2020,59989
2/18/2020,61682
2/19/2020,62031
2/20/2020,62442
2/21/2020,62662
2/22/2020,64084
2/23/2020,64084
2/24/2020,64287
2/25/2020,64786
2/26/2020,65187
2/27/2020,65596
2/28/2020,65914
2/29/2020,66337
3/1/2020,66907
3/2/2020,67103
3/3/2020,67217
3/4/2020,67332
3/5/2020,67466
3/6/2020,67592
3/7/2020,67666
3/8/2020,67707
3/9/2020,67743
3/10/2020,67760
3/11/2020,67773
3/12/2020,67781
3/13/2020,67786
3/14/2020,67790
3/15/2020,67794
3/16/2020,67798
3/17/2020,67799
3/18/2020,67800
3/19/2020,67800
3/20/2020,67800
3/21/2020,67800
3/22/2020,67800
3/23/2020,67800
3/24/2020,67801
3/25/2020,67801
3/26/2020,67801
3/27/2020,67801
3/28/2020,67801
3/29/2020,67801
3/30/2020,67801
3/31/2020,67801
4/1/2020,67802
4/2/2020,67802
4/3/2020,67802
4/4/2020,67803
4/5/2020,67803
4/6/2020,67803
4/7/2020,67803
