,confirm_count,death_count,death_rate
1/31/20,2.0,0.0,0.0
2/1/20,2.0,0.0,0.0
2/2/20,2.0,0.0,0.0
2/3/20,2.0,0.0,0.0
2/4/20,2.0,0.0,0.0
2/5/20,2.0,0.0,0.0
2/6/20,2.0,0.0,0.0
2/7/20,3.0,0.0,0.0
2/8/20,3.0,0.0,0.0
2/9/20,3.0,0.0,0.0
2/10/20,3.0,0.0,0.0
2/11/20,3.0,0.0,0.0
2/12/20,3.0,0.0,0.0
2/13/20,3.0,0.0,0.0
2/14/20,3.0,0.0,0.0
2/15/20,3.0,0.0,0.0
2/16/20,3.0,0.0,0.0
2/17/20,3.0,0.0,0.0
2/18/20,3.0,0.0,0.0
2/19/20,3.0,0.0,0.0
2/20/20,3.0,0.0,0.0
2/21/20,20.0,1.0,1.656726308813784e-08
2/22/20,62.0,2.0,3.313452617627568e-08
2/23/20,155.0,3.0,4.970178926441352e-08
2/24/20,229.0,7.0,1.1597084161696488e-07
2/25/20,322.0,10.0,1.656726308813784e-07
2/26/20,453.0,12.0,1.9880715705765407e-07
2/27/20,655.0,17.0,2.816434724983433e-07
2/28/20,888.0,21.0,3.479125248508946e-07
2/29/20,1128.0,29.0,4.804506295559973e-07
3/1/20,1694.0,34.0,5.632869449966866e-07
3/2/20,2036.0,52.0,8.614976805831677e-07
3/3/20,2502.0,79.0,1.3088137839628893e-06
3/4/20,3089.0,107.0,1.7726971504307489e-06
3/5/20,3858.0,148.0,2.4519549370444e-06
3/6/20,4636.0,197.0,3.2637508283631543e-06
3/7/20,5883.0,233.0,3.860172299536116e-06
3/8/20,7375.0,366.0,6.063618290258449e-06
3/9/20,9172.0,463.0,7.67064280980782e-06
3/10/20,10149.0,631.0,1.0453943008614977e-05
3/11/20,12462.0,827.0,1.3701126573889993e-05
3/12/20,12462.0,827.0,1.3701126573889993e-05
3/13/20,17660.0,1266.0,2.0974155069582507e-05
3/14/20,21157.0,1441.0,2.3873426110006627e-05
3/15/20,24747.0,1809.0,2.997017892644135e-05
3/16/20,27980.0,2158.0,3.575215374420146e-05
3/17/20,31506.0,2503.0,4.1467859509609015e-05
3/18/20,35713.0,2978.0,4.933730947647449e-05
3/19/20,41035.0,3405.0,5.641153081510934e-05
3/20/20,47021.0,4032.0,6.679920477137177e-05
3/21/20,53578.0,4825.0,7.993704440026507e-05
3/22/20,59138.0,5476.0,9.072233267064281e-05
3/23/20,63927.0,6077.0,0.00010067925778661365
3/24/20,69176.0,6820.0,0.00011298873426110007
3/25/20,74386.0,7503.0,0.00012430417495029822
3/26/20,80589.0,8215.0,0.00013610006626905234
3/27/20,86498.0,9134.0,0.00015132538104705101
3/28/20,92472.0,10023.0,0.00016605367793240557
3/29/20,97689.0,10779.0,0.00017857852882703778
3/30/20,101739.0,11591.0,0.0001920311464546057
3/31/20,105792.0,12428.0,0.00020589794565937708
4/1/20,110574.0,13155.0,0.00021794234592445327
4/2/20,115242.0,13915.0,0.00023053346587143805
4/3/20,119827.0,14681.0,0.00024322398939695161
4/4/20,124632.0,15362.0,0.0002545062955599735
4/5/20,128948.0,15887.0,0.00026320410868124587
4/6/20,132547.0,16523.0,0.0002737408880053015
4/7/20,135586.0,17127.0,0.0002837475149105368
4/8/20,139422.0,17669.0,0.0002927269715043075
4/9/20,143626.0,18279.0,0.00030283300198807156
4/10/20,147577.0,18849.0,0.00031227634194831017
4/11/20,152271.0,19468.0,0.00032253147779986747
4/12/20,156363.0,19899.0,0.0003296719681908549
4/13/20,159516.0,20465.0,0.0003390490390987409
4/14/20,162488.0,21067.0,0.00034902253147779986
4/15/20,165155.0,21645.0,0.00035859840954274353
4/16/20,168941.0,22170.0,0.0003672962226640159
