,confirm_count,death_count,death_rate
3/12/20,1,0,0.0
3/13/20,2,0,0.0
3/14/20,8,0,0.0
3/15/20,13,0,0.0
3/16/20,13,0,0.0
3/17/20,40,0,0.0
3/18/20,76,0,0.0
3/19/20,101,0,0.0
3/20/20,124,0,0.0
3/21/20,169,0,0.0
3/22/20,227,0,0.0
3/23/20,278,0,0.0
3/24/20,338,0,0.0
3/25/20,400,0,0.0
3/26/20,616,0,0.0
3/27/20,763,1,3.68052999631947e-07
3/28/20,1003,2,7.36105999263894e-07
3/29/20,1192,3,1.104158998895841e-06
3/30/20,1632,3,1.104158998895841e-06
3/31/20,2123,7,2.576370997423629e-06
4/1/20,2202,7,2.576370997423629e-06
4/2/20,2886,20,7.36105999263894e-06
4/3/20,3364,25,9.201324990798676e-06
4/4/20,3890,31,1.1409642988590357e-05
4/5/20,4146,31,1.1409642988590357e-05
4/6/20,4481,37,1.3617960986382039e-05
4/7/20,4997,41,1.5090172984909826e-05
4/8/20,5354,49,1.80345969819654e-05
4/9/20,5745,62,2.2819285977180714e-05
4/10/20,6119,74,2.7235921972764077e-05
4/11/20,6487,91,3.3492822966507174e-05
4/12/20,7058,97,3.570114096429886e-05
4/13/20,7459,109,4.0117776959882224e-05
4/14/20,7712,125,4.6006624953993374e-05
