,confirm_count,death_count,death_rate
3/5/20,2,0,0.0
3/6/20,2,0,0.0
3/7/20,4,0,0.0
3/8/20,5,0,0.0
3/9/20,5,0,0.0
3/10/20,15,1,1.125872551227201e-07
3/11/20,23,1,1.125872551227201e-07
3/12/20,29,1,1.125872551227201e-07
3/13/20,49,1,1.125872551227201e-07
3/14/20,69,1,1.125872551227201e-07
3/15/20,72,2,2.251745102454402e-07
3/16/20,176,2,2.251745102454402e-07
3/17/20,250,3,3.377617653681603e-07
3/18/20,397,5,5.629362756136005e-07
3/19/20,741,9,1.013285296104481e-06
3/20/20,890,11,1.2384598063499211e-06
3/21/20,1327,16,1.8013960819635217e-06
3/22/20,1914,20,2.251745102454402e-06
3/23/20,2844,27,3.039855888313443e-06
3/24/20,3675,44,4.9538392253996846e-06
3/25/20,4402,62,6.980409817608647e-06
3/26/20,6876,81,9.119567664940328e-06
3/27/20,8825,108,1.2159423553253771e-05
3/28/20,11124,140,1.5762215717180815e-05
3/29/20,13386,161,1.8126548074757937e-05
3/30/20,16636,198,2.2292276514298583e-05
3/31/20,18696,267,3.0060797117766267e-05
4/1/20,22255,355,3.996847556856564e-05
4/2/20,25590,537,6.04593560009007e-05
4/3/20,29895,646,7.273136680927719e-05
4/4/20,34124,846,9.524881783382121e-05
4/5/20,37505,917,0.00010324251294753434
4/6/20,41090,1003,0.00011292501688808827
4/7/20,44416,1232,0.00013870749831119118
4/8/20,47437,1504,0.00016933123170457105
4/9/20,51027,1709,0.00019241161900472866
4/10/20,54588,1932,0.00021751857689709524
4/11/20,58151,2183,0.000245777977932898
4/12/20,61850,2350,0.00026458004953839226
4/13/20,64584,2443,0.0002750506642648052
4/14/20,68824,2805,0.0003158072506192299
