,confirm_count,death_count,death_rate
3/2/20,1,0,0.0
3/3/20,2,0,0.0
3/4/20,11,0,0.0
3/5/20,23,0,0.0
3/6/20,31,0,0.0
3/7/20,76,0,0.0
3/8/20,106,0,0.0
3/9/20,142,0,0.0
3/10/20,150,0,0.0
3/11/20,220,0,0.0
3/12/20,327,0,0.0
3/13/20,421,0,0.0
3/14/20,613,2,1.0235414534288639e-07
3/15/20,615,2,1.0235414534288639e-07
3/16/20,967,10,5.11770726714432e-07
3/17/20,1578,13,6.653019447287615e-07
3/18/20,3038,17,8.700102354145343e-07
3/19/20,5704,38,1.9447287615148413e-06
3/20/20,8403,46,2.354145342886387e-06
3/21/20,11727,60,3.0706243602865916e-06
3/22/20,15800,117,5.987717502558853e-06
3/23/20,20884,158,8.085977482088025e-06
3/24/20,25681,210,1.074718526100307e-05
3/25/20,30841,285,1.458546571136131e-05
3/26/20,37877,385,1.970317297850563e-05
3/27/20,44876,527,2.6970317297850562e-05
3/28/20,52410,883,4.518935516888434e-05
3/29/20,59648,1063,5.4401228249744114e-05
3/30/20,66663,1342,6.867963152507676e-05
3/31/20,75833,1714,8.771750255885364e-05
4/1/20,83948,2176,0.0001113613101330604
4/2/20,92506,2738,0.00014012282497441147
4/3/20,102987,3262,0.0001669396110542477
4/4/20,113833,3544,0.00018137154554759467
4/5/20,123160,4029,0.00020619242579324464
4/6/20,131815,4698,0.00024042988741044012
4/7/20,139875,5489,0.0002809109518935517
4/8/20,151061,6268,0.00032077789150460593
4/9/20,161779,7067,0.00036166837256908907
4/10/20,172348,7867,0.0004026100307062436
4/11/20,181026,8627,0.0004415046059365404
4/12/20,189033,9385,0.0004802968270214944
4/13/20,195749,10058,0.0005147389969293757
4/14/20,203020,10842,0.0005548618219037871
