date,cases_count
1/22/2020,0
1/23/2020,0
1/24/2020,0
1/25/2020,0
1/26/2020,0
1/27/2020,0
1/28/2020,0
1/29/2020,0
1/30/2020,0
1/31/2020,0
2/1/2020,0
2/2/2020,0
2/3/2020,0
2/4/2020,0
2/5/2020,0
2/6/2020,0
2/7/2020,0
2/8/2020,0
2/9/2020,0
2/10/2020,0
2/11/2020,0
2/12/2020,0
2/13/2020,0
2/14/2020,0
2/15/2020,0
2/16/2020,0
2/17/2020,0
2/18/2020,0
2/19/2020,0
2/20/2020,0
2/21/2020,0
2/22/2020,0
2/23/2020,0
2/24/2020,0
2/25/2020,0
2/26/2020,0
2/27/2020,0
2/28/2020,0
2/29/2020,0
3/1/2020,0
3/2/2020,1
3/3/2020,2
3/4/2020,11
3/5/2020,23
3/6/2020,31
3/7/2020,76
3/8/2020,106
3/9/2020,142
3/10/2020,150
3/11/2020,220
3/12/2020,327
3/13/2020,421
3/14/2020,613
3/15/2020,615
3/16/2020,967
3/17/2020,1578
3/18/2020,3038
3/19/2020,5704
3/20/2020,8403
3/21/2020,11727
3/22/2020,15800
3/23/2020,20884
3/24/2020,25681
3/25/2020,30841
3/26/2020,37877
3/27/2020,44876
3/28/2020,52410
3/29/2020,59648
3/30/2020,66663
3/31/2020,75833
4/1/2020,83948
4/2/2020,92506
4/3/2020,102987
4/4/2020,113833
4/5/2020,123160
4/6/2020,131815
4/7/2020,139875
