,confirm_count,death_count,death_rate
2/1/20,1.0,0.0,0.0
2/2/20,1.0,0.0,0.0
2/3/20,1.0,0.0,0.0
2/4/20,1.0,0.0,0.0
2/5/20,1.0,0.0,0.0
2/6/20,1.0,0.0,0.0
2/7/20,1.0,0.0,0.0
2/8/20,1.0,0.0,0.0
2/9/20,2.0,0.0,0.0
2/10/20,2.0,0.0,0.0
2/11/20,2.0,0.0,0.0
2/12/20,2.0,0.0,0.0
2/13/20,2.0,0.0,0.0
2/14/20,2.0,0.0,0.0
2/15/20,2.0,0.0,0.0
2/16/20,2.0,0.0,0.0
2/17/20,2.0,0.0,0.0
2/18/20,2.0,0.0,0.0
2/19/20,2.0,0.0,0.0
2/20/20,2.0,0.0,0.0
2/21/20,2.0,0.0,0.0
2/22/20,2.0,0.0,0.0
2/23/20,2.0,0.0,0.0
2/24/20,2.0,0.0,0.0
2/25/20,6.0,0.0,0.0
2/26/20,13.0,0.0,0.0
2/27/20,15.0,0.0,0.0
2/28/20,32.0,0.0,0.0
2/29/20,45.0,0.0,0.0
3/1/20,84.0,0.0,0.0
3/2/20,120.0,0.0,0.0
3/3/20,165.0,1.0,2.130379207498935e-08
3/4/20,222.0,2.0,4.26075841499787e-08
3/5/20,259.0,3.0,6.391137622496804e-08
3/6/20,400.0,5.0,1.0651896037494675e-07
3/7/20,500.0,10.0,2.130379207498935e-07
3/8/20,673.0,17.0,3.621644652748189e-07
3/9/20,1073.0,28.0,5.965061780997017e-07
3/10/20,1695.0,35.0,7.456327226246272e-07
3/11/20,2277.0,54.0,1.1504047720494248e-06
3/12/20,2277.0,55.0,1.1717085641244142e-06
3/13/20,5232.0,133.0,2.8334043459735833e-06
3/14/20,6391.0,195.0,4.154239454622923e-06
3/15/20,7798.0,289.0,6.156795909671922e-06
3/16/20,9942.0,342.0,7.285896889646357e-06
3/17/20,11748.0,533.0,1.1354921175969322e-05
3/18/20,13910.0,623.0,1.3272262462718364e-05
3/19/20,17963.0,830.0,1.768214742224116e-05
3/20/20,20410.0,1043.0,2.221985513421389e-05
3/21/20,25374.0,1375.0,2.9292714103110354e-05
3/22/20,28768.0,1772.0,3.775031955688112e-05
3/23/20,35136.0,2311.0,4.9233063485300385e-05
3/24/20,39885.0,2808.0,5.9821048146570087e-05
3/25/20,49515.0,3647.0,7.769492969748616e-05
3/26/20,57786.0,4365.0,9.299105240732851e-05
3/27/20,65719.0,5138.0,0.00010945888368129527
3/28/20,73235.0,5982.0,0.0001274392841925863
3/29/20,80110.0,6803.0,0.00014492969748615254
3/30/20,87956.0,7716.0,0.0001643800596506178
3/31/20,95923.0,8464.0,0.00018031529612270983
4/1/20,104118.0,9387.0,0.000199978696207925
4/2/20,112065.0,10348.0,0.00022045164039198977
4/3/20,119199.0,11198.0,0.00023855986365573073
4/4/20,126168.0,11947.0,0.00025451640391989773
4/5/20,131646.0,12641.0,0.00026930123561994034
4/6/20,136675.0,13341.0,0.00028421389007243287
4/7/20,141942.0,14045.0,0.0002992117596932254
4/8/20,148220.0,14792.0,0.00031512569237324243
4/9/20,153222.0,15447.0,0.00032907967618236045
4/10/20,158273.0,16081.0,0.0003425862803579037
4/11/20,163027.0,16606.0,0.00035377077119727314
4/12/20,166831.0,17209.0,0.0003666169578184917
4/13/20,170099.0,17756.0,0.00037827013208351084
4/14/20,172541.0,18056.0,0.00038466126970600764
4/15/20,177644.0,18708.0,0.00039855134213890073
4/16/20,184948.0,19315.0,0.00041148274392841926
