"","Date","cases_count","recover_count","deaths_count"
"1",2020-01-22,0,0,0
"2",2020-01-23,0,0,0
"3",2020-01-24,0,0,0
"4",2020-01-25,0,0,0
"5",2020-01-26,0,0,0
"6",2020-01-27,0,0,0
"7",2020-01-28,0,0,0
"8",2020-01-29,0,0,0
"9",2020-01-30,0,0,0
"10",2020-01-31,2,0,0
"11",2020-02-01,2,0,0
"12",2020-02-02,2,0,0
"13",2020-02-03,2,0,0
"14",2020-02-04,2,0,0
"15",2020-02-05,2,0,0
"16",2020-02-06,2,0,0
"17",2020-02-07,3,0,0
"18",2020-02-08,3,0,0
"19",2020-02-09,3,0,0
"20",2020-02-10,8,0,0
"21",2020-02-11,8,0,0
"22",2020-02-12,9,1,0
"23",2020-02-13,9,1,0
"24",2020-02-14,9,1,0
"25",2020-02-15,9,1,0
"26",2020-02-16,9,8,0
"27",2020-02-17,9,8,0
"28",2020-02-18,9,8,0
"29",2020-02-19,9,8,0
"30",2020-02-20,9,8,0
"31",2020-02-21,9,8,0
"32",2020-02-22,9,8,0
"33",2020-02-23,9,8,0
"34",2020-02-24,13,8,0
"35",2020-02-25,13,8,0
"36",2020-02-26,13,8,0
"37",2020-02-27,15,8,0
"38",2020-02-28,20,8,0
"39",2020-02-29,23,8,0
"40",2020-03-01,36,8,0
"41",2020-03-02,40,8,0
"42",2020-03-03,51,8,0
"43",2020-03-04,86,8,0
"44",2020-03-05,116,8,1
"45",2020-03-06,164,8,2
"46",2020-03-07,207,18,2
"47",2020-03-08,274,18,3
"48",2020-03-09,322,18,4
"49",2020-03-10,384,19,6
"50",2020-03-11,459,19,8
"51",2020-03-12,459,19,8
"52",2020-03-13,802,19,8
"53",2020-03-14,1144,19,21
"54",2020-03-15,1145,19,21
"55",2020-03-16,1551,21,56
"56",2020-03-17,1960,53,56
"57",2020-03-18,2642,67,72
"58",2020-03-19,2716,67,138
"59",2020-03-20,4014,67,178
"60",2020-03-21,5067,67,234
"61",2020-03-22,5745,67,282
"62",2020-03-23,6726,67,336
"63",2020-03-24,8164,140,423
"64",2020-03-25,9640,140,466
"65",2020-03-26,11812,150,580
"66",2020-03-27,14745,151,761
"67",2020-03-28,17312,151,1021
"68",2020-03-29,19780,151,1231
"69",2020-03-30,22453,171,1411
"70",2020-03-31,25481,179,1793
"71",2020-04-01,29865,179,2357
"72",2020-04-02,34173,192,2926
"73",2020-04-03,38689,208,3611
"74",2020-04-04,42477,215,4320
"75",2020-04-05,48436,229,4943
"76",2020-04-06,52279,287,5385
"77",2020-04-07,55949,325,6171
