,confirm_count,death_count,death_rate
1/31/20,2,0,0.0
2/1/20,2,0,0.0
2/2/20,2,0,0.0
2/3/20,2,0,0.0
2/4/20,2,0,0.0
2/5/20,2,0,0.0
2/6/20,2,0,0.0
2/7/20,3,0,0.0
2/8/20,3,0,0.0
2/9/20,3,0,0.0
2/10/20,8,0,0.0
2/11/20,8,0,0.0
2/12/20,9,0,0.0
2/13/20,9,0,0.0
2/14/20,9,0,0.0
2/15/20,9,0,0.0
2/16/20,9,0,0.0
2/17/20,9,0,0.0
2/18/20,9,0,0.0
2/19/20,9,0,0.0
2/20/20,9,0,0.0
2/21/20,9,0,0.0
2/22/20,9,0,0.0
2/23/20,9,0,0.0
2/24/20,13,0,0.0
2/25/20,13,0,0.0
2/26/20,13,0,0.0
2/27/20,15,0,0.0
2/28/20,20,0,0.0
2/29/20,23,0,0.0
3/1/20,36,0,0.0
3/2/20,40,0,0.0
3/3/20,51,0,0.0
3/4/20,86,0,0.0
3/5/20,116,1,1.786352268667381e-08
3/6/20,164,2,3.572704537334762e-08
3/7/20,207,2,3.572704537334762e-08
3/8/20,274,3,5.359056806002144e-08
3/9/20,322,4,7.145409074669525e-08
3/10/20,384,6,1.0718113612004287e-07
3/11/20,459,8,1.429081814933905e-07
3/12/20,459,8,1.429081814933905e-07
3/13/20,802,8,1.429081814933905e-07
3/14/20,1144,21,3.7513397642015007e-07
3/15/20,1145,21,3.7513397642015007e-07
3/16/20,1551,56,1.0003572704537335e-06
3/17/20,1960,56,1.0003572704537335e-06
3/18/20,2642,72,1.2861736334405146e-06
3/19/20,2716,138,2.465166130760986e-06
3/20/20,4014,178,3.1797070382279384e-06
3/21/20,5067,234,4.180064308681672e-06
3/22/20,5745,282,5.037513397642015e-06
3/23/20,6726,336,6.002143622722401e-06
3/24/20,8164,423,7.556270096463023e-06
3/25/20,9640,466,8.324401571989996e-06
3/26/20,11812,580,1.0360843158270812e-05
3/27/20,14745,761,1.359414076455877e-05
3/28/20,17312,1021,1.823865666309396e-05
3/29/20,19780,1231,2.1989996427295464e-05
3/30/20,22453,1411,2.5205430510896748e-05
3/31/20,25481,1793,3.202929617720615e-05
4/1/20,29865,2357,4.210432297249018e-05
4/2/20,34173,2926,5.226866738120758e-05
4/3/20,38689,3611,6.450518042157913e-05
4/4/20,42477,4320,7.717041800643087e-05
4/5/20,48436,4943,8.829939264022866e-05
4/6/20,52279,5385,9.619506966773848e-05
4/7/20,55949,6171,0.00011023579849946409
4/8/20,61474,7111,0.0001270275098249375
4/9/20,65872,7993,0.0001427831368345838
4/10/20,74605,8974,0.0001603072525902108
4/11/20,79874,9892,0.00017670596641657736
4/12/20,85206,10629,0.00018987138263665596
4/13/20,89570,11347,0.00020269739192568773
